system,comet_score,sid
online-A.0,0.6084944606,366
online-A.0,0.7018117309,443
online-A.0,0.7939653397,806
online-A.0,0.6890656352,54
online-A.0,0.7132286429,426
online-A.0,0.5703561306,637
online-A.0,0.7565547824,484
online-A.0,0.5362986922,614
online-A.0,0.5633548498,111
online-A.0,0.621607244,735
online-A.0,0.7069754004,876
online-A.0,0.7332497835,9
online-A.0,0.9977892041,747
online-A.0,0.5544266105,490
online-A.0,0.4684135318,976
online-A.0,0.6239460707,321
online-A.0,0.5776478648,431
online-A.0,0.580393672,469
online-A.0,0.4723806381,415
online-A.0,0.8353248239,910
online-A.0,0.5457337499,780
online-A.0,0.8567635417,651
online-A.0,0.5827410817,247
online-A.0,0.8074191809,125
online-A.0,0.6679827571,126
online-A.0,0.6322029233,60
online-A.0,0.7523402572,566
online-A.0,0.8609725833,14
online-A.0,0.6759847999,513
online-A.0,0.8586784005,402
online-A.0,0.697152555,228
online-A.0,0.8055973649,706
online-A.0,0.7483235002,155
online-A.0,0.6976901293,585
online-A.0,0.6602359414,958
online-A.0,0.6814055443,901
online-A.0,0.889133811,123
online-A.0,0.912520349,303
online-A.0,0.7461516261,53
online-A.0,0.8822998405,264
online-A.0,0.7877740264,823
online-A.0,0.7779081464,542
online-A.0,0.6658326983,589
online-A.0,0.6188725829,330
online-A.0,0.5721739531,789
online-A.0,0.7745609283,998
online-A.0,0.701844871,80
online-A.0,0.630184114,582
online-A.0,0.7989029288,535
online-A.0,0.6987682581,964
online-A.0,0.6401935816,265
online-A.0,0.6702235937,5
online-A.0,0.673676312,590
online-A.0,0.9214298129,186
online-A.0,0.5829825997,572
online-A.0,0.8503426909,387
online-A.0,0.7540342212,516
online-A.0,0.6579329371,667
online-A.0,0.4663532376,319
online-A.0,0.6158376932,555
online-A.0,0.8281939626,386
online-A.0,0.8077433705,457
online-A.0,0.5753407478,157
online-A.0,0.651044488,329
online-A.0,0.6334152818,334
online-A.0,0.7309291959,946
online-A.0,0.4622846842,973
online-A.0,0.5525559783,185
online-A.0,0.5587534308,791
online-A.0,0.749466002,919
online-A.0,0.6940656304,648
online-A.0,0.8084505796,921
online-A.0,0.5702006817,190
online-A.0,0.7931345105,256
online-A.0,0.4748741686,380
online-A.0,0.7299663424,44
online-A.0,0.7351716757,996
online-A.0,0.5978630185,897
online-A.0,0.6444030404,220
online-A.0,0.85953933,180
online-A.0,0.858720541,361
online-A.0,0.769127965,539
online-A.0,0.6814092994,152
online-A.0,0.8487779498,137
online-A.0,0.7179816365,164
online-A.0,0.8845134377,476
online-A.0,0.6291328669,498
online-A.0,0.812671423,912
online-A.0,0.8449229598,983
online-A.0,0.777009666,394
online-A.0,0.4883292317,216
online-A.0,0.797563076,678
online-A.0,0.5384371281,16
online-A.0,0.6968148947,654
online-A.0,0.823973,863
online-A.0,0.6097738147,752
online-A.0,0.4946490526,118
online-A.0,0.579926312,124
online-A.0,0.6130430698,156
online-A.0,0.8495778441,289
online-A.0,0.6208045483,940
online-A.0,0.6350306869,854
online-A.0,0.7926109433,508
online-A.0,0.7050285935,641
online-A.0,0.7896997333,606
online-A.0,0.6519348025,647
online-A.0,0.5513240099,316
online-A.0,0.6629047394,881
online-A.0,0.6947714686,527
online-A.0,0.733304441,448
online-A.0,0.3581628203,314
online-A.0,0.9151192307,594
online-A.0,0.8492956161,488
online-A.0,0.7038216591,675
online-A.0,0.6103513241,39
online-A.0,0.6611476541,379
online-A.0,0.4711465836,223
online-A.0,0.638184607,43
online-A.0,0.5535029173,644
online-A.0,0.4427319765,750
online-A.0,0.7789435983,839
online-A.0,0.7085497975,805
online-A.0,0.628216207,304
online-A.0,0.5716602206,225
online-A.0,0.8545184731,932
online-A.0,0.8980833292,510
